Report_ID,Department,Doc_Type,Date,Program,Key_Detail
RPT_001,Fort Smith Police Department,1033 Training Proposal,2015-01-19,Law Enforcement Support,"assigned to this agency, if and when this agency no longer has a need for this vehicle it shall be transferred to another"
RPT_002,Jacksonville Police Department,1033 Training Proposal,2015-01-14,Law Enforcement Support,"assigned to this agency, if and when this agency no longer has a need for this vehicle it shall be transferred to another"
RPT_003,Lonoke County Sheriff's Office,1033 Training Proposal,2015-12-01,Law Enforcement Support,"has a need for this vehicle it shall be transferred to another LEA, or returned to the United"
